Year,SEX,AREA,OCCUPATION,Series,Value
2016,,Gaza Strip,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,"Plant and machine operators, and assemblers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,Elementary occupations,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,,Gaza Strip,"Legislators, senior officials and managers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",76.6
2001,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",71.9
2002,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",72.6
2003,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",72.2
2004,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",73.8
2005,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",77.0
2006,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",81.5
2007,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",81.9
2008,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",87.6
2009,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",91.1
2010,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",91.8
2011,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",91.7
2012,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",92.9
2013,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",97.2
2014,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",101.8
2015,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",103.7
2016,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",109.0
2017,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",113.7
2018,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",123.0
2019,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",128.6
2020,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",132.7
2021,,Palestine,,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",136.5
2000,,Palestine,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",71.9
2001,,Palestine,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",72.2
2002,,Palestine,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",73.4
2003,,Palestine,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",74.8
2004,,Palestine,Technicians and associate professionals,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",78.5
