Year,SEX,AREA,OCCUPATION,Value
2005,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,82.5
2006,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,90.3
2007,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,88.4
2008,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,89.63
2009,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,94.54
2010,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,95.15
2011,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,98.21
2012,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,98.56
2013,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,98.2
2014,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,98.97
2015,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,102.66
2016,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,104.57
2017,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,107.71
2018,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,112.78
2019,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,116.03
2020,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,123.24
2021,Both sexes or no breakdown by sex,Palestine,Technicians and associate professionals,89.11
2000,Both sexes or no breakdown by sex,Palestine,Service and sales workers,57.9
2001,Both sexes or no breakdown by sex,Palestine,Service and sales workers,54.4
2002,Both sexes or no breakdown by sex,Palestine,Service and sales workers,54.6
2003,Both sexes or no breakdown by sex,Palestine,Service and sales workers,55.0
2004,Both sexes or no breakdown by sex,Palestine,Service and sales workers,54.8
2005,Both sexes or no breakdown by sex,Palestine,Service and sales workers,59.5
2006,Both sexes or no breakdown by sex,Palestine,Service and sales workers,66.9
2007,Both sexes or no breakdown by sex,Palestine,Service and sales workers,66.1
2008,Both sexes or no breakdown by sex,Palestine,Service and sales workers,70.72
2009,Both sexes or no breakdown by sex,Palestine,Service and sales workers,68.97
2010,Both sexes or no breakdown by sex,Palestine,Service and sales workers,71.88
2011,Both sexes or no breakdown by sex,Palestine,Service and sales workers,68.73
2012,Both sexes or no breakdown by sex,Palestine,Service and sales workers,67.3
2013,Both sexes or no breakdown by sex,Palestine,Service and sales workers,69.59
2014,Both sexes or no breakdown by sex,Palestine,Service and sales workers,69.55
2015,Both sexes or no breakdown by sex,Palestine,Service and sales workers,69.06
2016,Both sexes or no breakdown by sex,Palestine,Service and sales workers,71.23
2017,Both sexes or no breakdown by sex,Palestine,Service and sales workers,74.65
2018,Both sexes or no breakdown by sex,Palestine,Service and sales workers,79.2
2019,Both sexes or no breakdown by sex,Palestine,Service and sales workers,82.54
2020,Both sexes or no breakdown by sex,Palestine,Service and sales workers,84.37
2021,Both sexes or no breakdown by sex,Palestine,Service and sales workers,117.27
2000,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",68.1
2001,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",55.0
2002,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",58.5
2003,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",45.3
2004,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",48.0
2005,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",50.1
2006,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",50.8
2007,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",54.7
2008,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",54.54
2009,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",65.17
2010,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",64.2
2011,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",68.7
2012,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",70.4
2013,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",99.88
2014,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",82.36
2015,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",116.24
2016,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",99.06
2017,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",92.87
2018,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",81.47
2019,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",110.22
2020,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",96.7
2021,Both sexes or no breakdown by sex,Palestine,"Skilled agricultural, forestry and fishery workers",138.11
2000,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,89.8
2001,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,82.4
2002,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,85.1
2003,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,83.5
2004,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,80.4
2005,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,87.5
2006,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,91.7
2007,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,90.3
2008,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,103.19
2009,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,103.2
2010,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,105.59
2011,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,104.75
2012,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,111.25
2013,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,130.49
2014,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,141.95
2015,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,144.27
2016,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,156.63
2017,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,167.9
2018,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,182.24
2019,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,187.7
2020,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,190.91
2021,Both sexes or no breakdown by sex,Palestine,Craft and related trades workers,157.04
2000,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",77.4
2001,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",70.7
2002,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",72.4
2003,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",70.4
2004,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",74.5
2005,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",78.2
2006,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",77.8
2007,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",75.4
2008,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",82.97
2009,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",88.51
2010,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",91.96
2011,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",94.74
2012,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",85.18
2013,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",85.78
2014,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",85.99
2015,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",82.61
2016,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",86.91
2017,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",94.76
2018,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",102.11
2019,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",108.39
2020,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",114.92
2021,Both sexes or no breakdown by sex,Palestine,"Plant and machine operators, and assemblers",165.34
2000,Both sexes or no breakdown by sex,Palestine,Elementary occupations,76.1
2001,Both sexes or no breakdown by sex,Palestine,Elementary occupations,70.4
2002,Both sexes or no breakdown by sex,Palestine,Elementary occupations,66.3
2003,Both sexes or no breakdown by sex,Palestine,Elementary occupations,62.3
2004,Both sexes or no breakdown by sex,Palestine,Elementary occupations,64.7
2005,Both sexes or no breakdown by sex,Palestine,Elementary occupations,66.7
2006,Both sexes or no breakdown by sex,Palestine,Elementary occupations,68.8
2007,Both sexes or no breakdown by sex,Palestine,Elementary occupations,73.3
2008,Both sexes or no breakdown by sex,Palestine,Elementary occupations,79.96
2009,Both sexes or no breakdown by sex,Palestine,Elementary occupations,84.68
2010,Both sexes or no breakdown by sex,Palestine,Elementary occupations,82.58
2011,Both sexes or no breakdown by sex,Palestine,Elementary occupations,81.34
2012,Both sexes or no breakdown by sex,Palestine,Elementary occupations,80.53
2013,Both sexes or no breakdown by sex,Palestine,Elementary occupations,81.7
2014,Both sexes or no breakdown by sex,Palestine,Elementary occupations,90.9
2015,Both sexes or no breakdown by sex,Palestine,Elementary occupations,93.01
2016,Both sexes or no breakdown by sex,Palestine,Elementary occupations,98.16
2017,Both sexes or no breakdown by sex,Palestine,Elementary occupations,101.49
2018,Both sexes or no breakdown by sex,Palestine,Elementary occupations,114.66
2019,Both sexes or no breakdown by sex,Palestine,Elementary occupations,126.73
2020,Both sexes or no breakdown by sex,Palestine,Elementary occupations,127.59
2021,Both sexes or no breakdown by sex,Palestine,Elementary occupations,173.8
2000,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",119.4
2001,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",112.4
2002,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",126.7
2003,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",127.3
2004,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",134.7
2005,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",132.5
2006,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",134.1
2007,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",140.1
2008,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",149.01
2009,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",150.07
2010,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",157.3
2011,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",157.71
2012,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",160.12
2013,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",158.07
2014,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",179.2
2015,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",176.56
2016,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",177.7
2017,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",181.45
2018,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",185.95
2019,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",186.31
2020,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",178.29
2021,Both sexes or no breakdown by sex,Palestine,"Legislators, senior officials and managers",76.71
